Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,55.560001,55.770000,54.980000,55.680000,54.831894,12965900
2018-06-11,55.790001,56.110001,55.500000,55.509998,54.664478,13518400
2018-06-12,55.639999,55.950001,55.090000,55.380001,54.536461,13608300
2018-06-13,55.389999,55.930000,55.139999,55.160000,54.319813,14901100
2018-06-14,55.330002,55.349998,54.480000,54.740002,53.906212,18189100
2018-06-15,54.549999,55.369999,54.380001,54.980000,54.142555,35715800
2018-06-18,54.509998,55.230000,54.430000,55.080002,54.241032,17856700
2018-06-19,54.680000,55.230000,54.599998,55.080002,54.241032,16654800
2018-06-20,55.459999,55.590000,54.439999,54.480000,53.650169,16545600
2018-06-21,54.250000,54.759998,53.880001,54.369999,53.541843,21191600
2018-06-22,54.959999,55.049999,53.779999,53.939999,53.118393,24015000
2018-06-25,53.779999,54.139999,53.099998,53.959999,53.138088,21069600
2018-06-26,53.900002,53.939999,53.020000,53.430000,52.616165,14409100
2018-06-27,53.240002,53.939999,53.060001,53.279999,52.468445,19520900
2018-06-28,53.549999,53.860001,53.020000,53.630001,52.813118,13837300
2018-06-29,55.619999,57.119999,55.410000,55.439999,54.595547,43888500
2018-07-02,55.200001,56.380001,55.070000,56.320000,55.462143,21204900
2018-07-03,56.430000,56.630001,55.430000,55.560001,54.713718,12830400
2018-07-05,55.919998,56.080002,55.049999,55.240002,54.398598,16788600
2018-07-06,55.299999,56.130001,55.029999,55.889999,55.038692,12389100
2018-07-09,56.189999,56.970001,56.009998,56.770000,55.905289,16684000
2018-07-10,57.060001,57.080002,56.340000,56.619999,55.757572,15581400
2018-07-11,56.400002,56.750000,55.980000,56.070000,55.215950,15641400
2018-07-12,56.459999,56.480000,55.599998,56.029999,55.176559,18236100
2018-07-13,54.740002,55.790001,53.630001,55.360001,54.516766,34323400
2018-07-16,55.740002,57.230000,55.630001,56.990002,56.121941,25538700
2018-07-17,56.950001,57.029999,56.430000,56.560001,55.698490,21649000
2018-07-18,56.259998,56.820000,56.139999,56.570000,55.708336,19913900
2018-07-19,56.259998,56.880001,56.020000,56.330002,55.471992,22219400
2018-07-20,56.070000,56.660000,55.849998,56.410000,55.550770,17250400
2018-07-23,56.389999,58.090000,56.299999,58.000000,57.116550,24584100
2018-07-24,58.000000,58.689999,57.849998,58.349998,57.461220,27245000
2018-07-25,58.099998,58.500000,57.849998,58.230000,57.343048,15531100
2018-07-26,58.470001,58.730000,58.200001,58.310001,57.421833,14165300
2018-07-27,58.380001,58.900002,58.160000,58.630001,57.736961,17662900
2018-07-30,58.830002,59.270000,58.299999,58.490002,57.599091,22699900
2018-07-31,58.610001,58.709999,57.200001,57.290001,56.417370,21633800
2018-08-01,57.959999,58.279999,57.209999,57.650002,56.771885,19192700
2018-08-02,57.080002,58.450001,57.080002,58.290001,57.402138,13489100
2018-08-03,58.060001,58.930000,58.029999,58.830002,57.933914,13720400
2018-08-06,58.580002,59.029999,58.189999,58.889999,57.993000,13360500
2018-08-07,58.939999,59.160000,58.700001,58.820000,57.924065,13810900
2018-08-08,58.759998,59.500000,58.759998,59.189999,58.288425,13778600
2018-08-09,58.650002,58.900002,58.400002,58.439999,57.970993,15859500
2018-08-10,57.380001,58.419998,57.380001,58.049999,57.584126,16170100
2018-08-13,57.660000,58.110001,57.560001,57.610001,57.147655,19541100
2018-08-14,57.669998,58.259998,57.669998,58.070000,57.603966,14860400
2018-08-15,57.680000,58.250000,57.650002,57.990002,57.524609,17378400
2018-08-16,58.139999,58.810001,58.049999,58.660000,58.189228,19992500
2018-08-17,58.509998,59.040001,58.509998,58.860001,58.387627,13737600
2018-08-20,58.810001,59.209999,58.669998,59.029999,58.556259,11403400
2018-08-21,59.000000,59.529999,58.939999,58.959999,58.486820,17943500
2018-08-22,59.040001,59.500000,58.830002,59.169998,58.695133,20829600
2018-08-23,59.000000,59.049999,58.570000,58.619999,58.149551,19655600
2018-08-24,58.900002,58.919998,58.669998,58.689999,58.218987,14366600
2018-08-27,58.869999,59.480000,58.759998,59.099998,58.625698,19915200
2018-08-28,59.189999,59.330002,58.990002,59.070000,58.595940,19330200
2018-08-29,59.049999,59.180000,58.820000,58.959999,58.486820,14436600
2018-08-30,58.669998,59.080002,58.430000,58.459999,57.990833,14800900
2018-08-31,58.270000,58.540001,58.070000,58.480000,58.010674,16720200
2018-09-04,58.450001,58.950001,58.070000,58.799999,58.328106,19003700
2018-09-05,58.880001,59.200001,58.810001,58.950001,58.476902,22332300
2018-09-06,58.910000,59.160000,57.930000,57.930000,57.465088,20756900
2018-09-07,57.919998,58.070000,57.349998,57.400002,56.939342,21482400
2018-09-10,57.619999,57.840000,57.310001,57.459999,56.998859,15623000
2018-09-11,57.400002,57.560001,57.320000,57.380001,56.919502,22160300
2018-09-12,57.330002,57.389999,55.799999,55.939999,55.491058,23868800
2018-09-13,56.009998,56.250000,54.990002,55.000000,54.558601,26954800
2018-09-14,55.189999,55.560001,54.700001,54.730000,54.290768,20997600
2018-09-17,54.750000,54.759998,53.939999,54.310001,53.874142,21959500
2018-09-18,54.250000,54.700001,54.040001,54.500000,54.062614,22055200
2018-09-19,54.490002,55.450001,54.279999,55.220001,54.776836,17046200
2018-09-20,55.630001,55.810001,54.990002,55.549999,55.104187,20308000
2018-09-21,55.750000,55.810001,54.919998,54.990002,54.548683,36158500
2018-09-24,54.799999,55.160000,54.240002,54.259998,53.824539,19604700
2018-09-25,54.299999,54.689999,54.200001,54.230000,53.794781,15207400
2018-09-26,54.380001,54.450001,53.020000,53.160000,52.733368,22025100
2018-09-27,53.279999,53.599998,52.759998,52.820000,52.396099,19991000
2018-09-28,52.689999,52.980000,52.410000,52.560001,52.138187,18588600
2018-10-01,52.740002,52.799999,52.160000,52.250000,51.830673,17209000
2018-10-02,52.240002,52.349998,51.880001,52.130001,51.711636,17509600
2018-10-03,52.500000,52.919998,52.330002,52.650002,52.227463,18444900
2018-10-04,52.730000,53.860001,52.730000,53.509998,53.080559,21417500
2018-10-05,53.700001,53.860001,52.980000,53.189999,52.763126,14793000
2018-10-08,52.980000,53.959999,52.980000,53.669998,53.239273,12858200
2018-10-09,53.380001,53.970001,52.980000,53.529999,53.100399,15918300
2018-10-10,53.700001,54.070000,52.410000,52.430000,52.009228,21875900
2018-10-11,52.380001,52.840000,51.009998,51.439999,51.027172,33147900
2018-10-12,52.099998,53.330002,50.869999,52.110001,51.691795,32067300
2018-10-15,52.509998,53.990002,52.509998,53.240002,52.812729,34118900
2018-10-16,53.310001,53.790001,52.529999,53.730000,53.298794,28227200
